StationName,Latitude,Longitude,TimeToNext
Pré-Saint-Gervais,48.88015993211241,2.3985866218697662,60
Danube,48.88195101817822,2.3932606758573876,120
Botzaris,48.87960708893313,2.389415569653207,60
Buttes-Chaumont,48.877803956007845,2.3812110997359883,60
Bolivar,48.880790122828465,2.374155126662647,60
Jaurès,48.88232802491925,2.3704769687699216,120
Louis Blanc,48.8814934288588,2.3657752423496143,0
