StationName,Latitude,Longitude,TimeToNext
Mairie d'Issy,48.82434652601842,2.2735658296006465,120
Corentin-Celton,48.82682988739414,2.278966861574341,60
Porte de Versailles,48.832253452749,2.287864137819189,120
Convention,48.83713694956265,2.296396090155559,60
Vaugirard (Adolphe Chérioux),48.83943928123955,2.3010780424739252,120
Volontaires,48.84141844267774,2.307993649386661,60
Pasteur,48.8428305421094,2.3126633077591134,60
Falguière,48.84432338300201,2.317564676180599,60
Montparnasse-Bienvenue,48.844027636151914,2.323569797217576,120
Notre-Dame des Champs,48.84478304833005,2.3284444832927207,60
Rennes,48.848198268824774,2.3280217486281134,60
Sèvres-Babylone,48.85157746899621,2.3268907883428853,60
Rue du Bac,48.85589133781551,2.325704993899314,60
Solférino,48.858533359508236,2.323089248787209,60
Assemblée Nationale,48.86145390429487,2.3203096905073557,120
Concorde,48.8654893908901,2.321411789213801,60
Madeleine,48.8697947152178,2.3246120120222655,120
Saint-Lazare,48.875420977789275,2.3266952720717047,60
Trinité-d'Estienne d'Orves,48.8763290374387,2.331804568510596,60
Notre-Dame de Lorette,48.876050554237366,2.337908692037609,120
Saint-Georges,48.878593955236205,2.3378269689170192,60
Pigalle,48.88202708962622,2.337213801747862,60
Abbesses,48.8843997149084,2.338399384171042,60
Lamarck-Caulaincourt,48.8897381077178,2.339149086674118,120
Jules Joffrin,48.89249697693026,2.3443284105515048,60
Marcadet-Poissonniers,48.89160682271851,2.349548310988923,120
Marx-Dormoy,48.890374081221125,2.3597970086706117,120
Porte de la Chapelle,48.89795934324147,2.3592550695796524,120
Front Populaire,48.90666658787472,2.3652301358543797,0
