StationName,Latitude,Longitude,TimeToNext
Nation,48.84942390087223,2.3970250382993576,120
Avron,48.851193819213286,2.398239140823123,60
Alexandre-Dumas,48.856426348325236,2.394554257654992,60
Philippe Auguste,48.85837884146994,2.3897347327397043,60
Père-Lachaise,48.86316120506396,2.3872604001843536,120
Ménilmontant,48.865705787623,2.3844293751632057,60
Couronnes,48.86932916949657,2.3805363661617247,60
Belleville,48.87228732058717,2.3767376773224687,60
Colonel Fabien,48.87818498179219,2.3701745466363584,120
Jaurès,48.88276854674882,2.36994579899074,60
Stalingrad,48.88418929420877,2.367030441974567,60
La Chapelle,48.884388698358165,2.3592765642767297,120
Barbès-Rochechouart,48.88368010927906,2.3495328036519307,60
Anvers,48.882871690180586,2.344163572800391,120
Pigalle,48.88242252841757,2.337254682101535,60
Blanche,48.88377051883179,2.332485148274094,60
Place de Clichy,48.88345565159549,2.3273749934103556,120
Rome,48.88207083393704,2.3203983393099863,60
Villiers,48.88132429394468,2.3165967615088174,60
Monceau,48.88057689074842,2.309415946164807,60
Courcelles,48.87927215163157,2.303298546682486,120
Ternes,48.87822804050767,2.2981214325821844,60
Charles de Gaulle-Etoile,48.87399384072475,2.294663961825911,120
Victor Hugo,48.869864912484076,2.285226207250439,120
Porte Dauphine (Maréchal de Lattre de Tassigny),48.87179221641751,2.27486996119569,0
