StationName,Latitude,Longitude,TimeToNext
Bobigny-Pablo-Picasso,48.907147312551565,2.44945750453114,180
Bobigny-Pantin (Raymond Queneau),48.895799232549,2.4248572983975945,120
Eglise de Pantin,48.89363252797401,2.41290026603005,60
Hoche,48.891499383764256,2.4031249606560765,120
Porte de Pantin,48.888583980971895,2.3924228757185415,60
Ourcq,48.886923877470686,2.3866564344034558,120
Laumière,48.8849316105461,2.379091246899838,60
Jaurès,48.88287621621258,2.3705863361654225,60
Stalingrad,48.88415326312386,2.3673574774663866,120
Gare du Nord,48.87938330261579,2.356372081359306,120
Gare de l'Est (Verdun),48.87681262539273,2.3582514400829155,120
Jacques-Bonsergent,48.87070082326957,2.3605786355872773,120
République,48.86761748653104,2.3638195214331654,60
Oberkampf,48.86490241594044,2.367537013481096,60
Richard-Lenoir,48.860488412845775,2.3719204375021397,120
Bréguet-Sabin,48.856803948960916,2.3705968196318707,60
Bastille,48.85338911229207,2.3691646022087665,120
Quai de la Rapée,48.84596603240645,2.3669131797383116,60
Gare d'Austerlitz,48.84341422414371,2.3641883928676424,120
Saint-Marcel,48.838516743515164,2.360727550361784,60
Campo-Formio,48.835551216675434,2.358752095191401,180
Place d'Italie,48.8312826555064,2.3554558703645068,0
