StationName,Latitude,Longitude,TimeToNext
Mairie des Lilas,48.880051061772676,2.415660206064229,120
Porte des Lilas,48.87723471669558,2.4065268430480917,60
Télégraphe,48.87552244924565,2.3986765111449513,60
Place des Fêtes,48.87672946890669,2.393146031767842,60
Jourdain,48.87524829462498,2.389329434152641,60
Pyrénées,48.87382117233675,2.384886372197903,120
Belleville,48.87194579797485,2.3767510413738,60
Goncourt (Hôpital Saint-Louis),48.87001535524704,2.3707687990214654,60
République,48.867240185361254,2.3630564459452406,60
Arts-et-Métiers,48.86538117604685,2.3556449312068772,120
Rambuteau,48.86119339564163,2.3532869598707133,60
Hôtel de Ville,48.85780537313629,2.351460776513565,60
Châtelet,48.858857284381365,2.347769856742684,0
