StationName,Latitude,Longitude,TimeToNext
Gallieni (Parc de Bagnolet),48.86326252650054,2.415975368499958,120
Porte de Bagnolet,48.864336535483645,2.4088253760377283,60
Gambetta,48.864782700687876,2.398445833771861,120
Père-Lachaise,48.862945661667425,2.3868924045430804,60
Rue Saint-Maur,48.86408940574645,2.3808997885521195,60
Parmentier,48.86525985667316,2.3747570817167682,120
République,48.86725794359829,2.3640373036390545,60
Temple,48.866764167814516,2.3615713270327316,60
Arts-et-Métiers,48.865551863634785,2.356108155120312,60
Réaumur-Sébastopol,48.86628035856129,2.352484796837845,60
Sentier,48.8673503814313,2.3475672354150805,60
Bourse,48.86876179259638,2.3406741288121005,120
Quatre Septembre,48.86966057219203,2.3363282816417112,60
Opéra,48.870720976292084,2.3322547435729586,60
Havre-Caumartin,48.8734618906704,2.3284804844734768,60
Saint-Lazare,48.87568150641968,2.325591584819959,120
Europe,48.87906043921274,2.3229746324058937,60
Villiers,48.88140510041144,2.316147050907411,120
Malesherbes,48.88253647289218,2.311009243005514,60
Wagram,48.883712476037346,2.3055577575143036,60
Pereire,48.8850310612536,2.2971351115061647,60
Porte de Champerret,48.88573915969202,2.2918606206755348,60
Louise Michel,48.889269622246026,2.2880551248039036,120
Anatole-France,48.892018626328884,2.2855174447944844,60
Pont de Levallois-Bécon,48.89730990517954,2.2807686428069003,0
