StationName,Latitude,Longitude,TimeToNext
Boulogne Pont de Saint-Cloud,48.84068016312195,2.228313661724341,120
Boulogne-Jean-Jaurès,48.84228014352973,2.238862975367271,180
Michel-Ange-Molitor,48.84498448667992,2.26232003903747,60
Chardon-Lagache,48.845104139567006,2.266936059032254,60
Mirabeau,48.847084858904864,2.273074914922012,60
Javel-André-Citroen,48.84596388048408,2.2778151263537714,120
Charles Michels,48.8463629755008,2.2856310658828742,60
Avenue Emile-Zola,48.846852151949776,2.2954488279344742,120
La Motte-Picquet-Grenelle,48.84882126668606,2.2979529640251917,60
Ségur,48.84686470206919,2.307268847578926,120
Duroc,48.846848768895974,2.3169373108340854,60
Vaneau,48.84870084962003,2.321239881938573,60
Sèvres-Babylone,48.85093928843075,2.3261146548222844,120
Mabillon,48.85284513365445,2.335143718516068,60
Odéon,48.85231488119486,2.338861720336335,60
Cluny-La Sorbonne,48.85079575570429,2.3450308883652258,60
Maubert-Mutualité,48.849716940163574,2.348925558491872,120
Cardinal-Lemoine,48.84670586906026,2.351335178972595,60
Jussieu,48.84576175731147,2.354548594906739,180
Gare d'Austerlitz,48.84371986136062,2.3639162171627124,0
