StationName,Latitude,Longitude,TimeToNext
Châtillon Montrouge,48.810283363510756,2.3012888709759522,120
Malakoff-Rue Etienne Dolet,48.81470406056698,2.2972847301706394,60
Malakoff-Plateau de Vanves,48.8224426939998,2.2979321053287274,120
Porte de Vanves,48.82776532658967,2.3043123507630607,120
Plaisance,48.83175809378841,2.3138665498481625,60
Pernety,48.833933819810916,2.31790897216328,60
Gaîté,48.838751821388634,2.322509186224712,120
Montparnasse-Bienvenue,48.84207702018728,2.321010449555117,60
Duroc,48.84699250092279,2.3165423447702307,60
Saint-François-Xavier,48.8509825598235,2.31442986460027,120
Varenne,48.85639306919846,2.3147543648102884,60
Invalides,48.86085078966753,2.314548112626649,60
Champs-Elysées-Clémenceau,48.867366570469784,2.3141910633936584,120
Miromesnil,48.87346032551137,2.3160412889150637,120
Saint-Lazare,48.876067814352574,2.324188100771013,120
Liège,48.87953716638082,2.3268579472729614,60
Place de Clichy,48.883203999876585,2.3272660246411383,60
La Fourche,48.8874368425293,2.3257252220174083,120
Brochant,48.89062663302413,2.320191121275328,120
Porte de Clichy,48.894436060297956,2.313565665465226,60
Mairie de Clichy,48.90400543242958,2.3053681208668606,180
Gabriel-Péri,48.916574835983226,2.2943289646870606,120
Les Agnettes,48.92291633150906,2.285963896576634,120
Asnières-Gennevilliers Les Courtilles,48.93029362287076,2.2837606331952487,0
