StationName,Latitude,Longitude,TimeToNext
Pont de Sèvres,48.829690338022736,2.2305284341923346,60
Billancourt,48.832087644282545,2.238160776875514,120
Marcel Sembat,48.833808586980275,2.243480614417395,120
Porte de Saint-Cloud,48.837565334473624,2.255591274447898,120
Exelmans,48.84290697853592,2.2601443978808957,60
Michel-Ange-Molitor,48.845056129032,2.261911423279769,60
Michel-Ange-Auteuil,48.847924592785105,2.264235905782418,60
Jasmin,48.852438519222666,2.2679339230009505,60
Ranelagh,48.85550440300199,2.269959178255765,120
La Muette,48.85809504968323,2.274096448110612,60
Rue de la Pompe (Avenue Georges Mandel),48.864253384403426,2.277916762028845,120
Trocadéro,48.8630891350352,2.2868403784945937,60
Iéna,48.864350199647255,2.2940452637830906,120
Alma-Marceau,48.86429867104669,2.3012514104499293,60
Franklin-Roosevelt,48.868812631860955,2.309926324470496,120
Saint-Philippe du Roule,48.8724706657937,2.310769101230354,60
Miromesnil,48.87353214061607,2.3155780248661895,60
Saint-Augustin,48.87438676021276,2.3207278319647315,120
Havre-Caumartin,48.873425976534854,2.3289709732965647,60
Chaussée d'Antin (La Fayette),48.87285998941257,2.3330447509269225,60
Richelieu-Drouot,48.872096123789774,2.339325555856426,60
Grands Boulevards,48.871511817078165,2.343208377544865,120
Bonne Nouvelle,48.87049583233104,2.348862117440598,60
Strasbourg-Saint-Denis,48.869227930987556,2.354529175385818,120
République,48.86741082883539,2.363587825558049,60
Oberkampf,48.86497429063367,2.36763241156394,120
Saint-Ambroise,48.86164742429928,2.373147140772303,60
Voltaire (Léon Blum),48.85766372576006,2.3800362967955064,60
Charonne,48.85464204744478,2.385032193334828,60
Rue des Boulets,48.8522227131835,2.389115650927187,120
Nation,48.849010153648216,2.3976646127910075,60
Buzenval,48.851767474505195,2.4011814838726444,60
Maraîchers,48.8526004024001,2.4063849895661393,120
Porte de Montreuil,48.85337987781381,2.4104581874163533,120
Robespierre,48.855680808196944,2.423659085483019,60
Croix-de-Chavaux (Jacques Duclos),48.857999073258,2.435866895674707,180
Mairie de Montreuil,48.862280986339,2.441827679127713,0
