StationName,Latitude,Longitude,TimeToNext
Nation,48.8474552623419,2.3977717436108956,60
Picpus,48.84532311461395,2.4017863137606863,60
Bel-Air,48.84143200664826,2.4008691933800934,120
Daumesnil (Félix Eboué),48.83937646312499,2.3957880604156494,60
Dugommier,48.83887615167852,2.3893473875702935,60
Bercy,48.84019224440348,2.3794772572660587,60
Quai de la Gare,48.83761467578531,2.373852115680497,60
Chevaleret,48.83496497071995,2.3680913458793973,60
Nationale,48.832881288678834,2.3619094080161975,60
Place d'Italie,48.831111838257115,2.3557961457130645,120
Corvisart,48.829863252112794,2.3506227279320897,60
Glacière,48.8312479519874,2.343122075822986,60
Saint-Jacques,48.83299169177581,2.3366828966443496,120
Denfert-Rochereau,48.833998236748336,2.333238501158801,60
Raspail,48.838878378565504,2.330678419288263,60
Edgar-Quinet,48.84056772620437,2.326402815222764,60
Montparnasse-Bienvenue,48.84187033630407,2.3212283740035646,120
Pasteur,48.842012804057696,2.3132900438354906,60
Sèvres-Lecourbe,48.84499615085685,2.310864830044154,60
Cambronne,48.8476991081708,2.302039143669263,60
La Motte-Picquet-Grenelle,48.849018928349764,2.297762160707931,60
Dupleix,48.85039257831968,2.2936483362305387,60
Bir-Hakeim (Grenelle),48.854327218552356,2.2888101037361173,60
Passy,48.857534382513876,2.28559270581709,120
Trocadéro,48.862666905879294,2.2872630615532628,60
Boissière,48.86685615476034,2.2900380734450088,60
Kléber,48.87130614908782,2.2933310208962174,120
Charles de Gaulle-Etoile,48.87371526831065,2.294759562849878,0
