StationName,Latitude,Longitude,TimeToNext
Saint-Lazare,48.8755376703957,2.3251964899774276,60
Madeleine,48.869578970578424,2.324162488791942,120
Pyramides,48.86661383061701,2.3344075309487886,120
Châtelet,48.85895618133369,2.3473612552142624,180
Gare de Lyon,48.844652150982945,2.37310814754528,120
Bercy,48.840542782965464,2.3794094631230687,60
Cour Saint-Emilion,48.833520860805514,2.3862652367404573,120
Bibliothèque-François Mitterrand,48.829830695271106,2.376120009344837,120
Olympiades,48.82694828196076,2.367038433387592,0
