StationName,Latitude,Longitude,TimeToNext
Château de Vincennes,48.84432514436857,2.440552346211822,120
Bérault,48.84536875015732,2.428244509620486,60
Saint-Mandé,48.84623825662077,2.418999828109256,120
Porte de Vincennes,48.847016518419125,2.410816882334764,60
Nation,48.84811123157566,2.3980040127977436,120
Reuilly-Diderot,48.8473528769588,2.3858425400402448,120
Gare de Lyon,48.84555978708341,2.37344920496318,120
Bastille,48.85297567465423,2.3692188244433434,120
Saint-Paul (Le Marais),48.85513451823504,2.3613343390676635,120
Hôtel de Ville,48.857355927169515,2.3520735668587185,60
Châtelet,48.85856967247972,2.347933245835307,60
Louvre-Rivoli,48.86087985759375,2.340973275817903,60
Palais-Royal (Musée du Louvre),48.8623718215243,2.3365736007364304,60
Tuileries,48.86478016250008,2.3290949544294275,120
Concorde,48.86567809641779,2.321193771801867,60
Champs-Elysées-Clémenceau,48.867744026068706,2.3141227803741415,120
Franklin-Roosevelt,48.869010427937624,2.3102531808960265,60
George V,48.87204561942636,2.3007691856449535,60
Charles de Gaulle-Etoile,48.8739310942679,2.295127251650101,120
Argentine,48.87567248598795,2.289444164481448,60
Porte Maillot,48.87800617627899,2.2824656400013326,120
Les Sablons (Jardin d'acclimatation),48.88129918549113,2.2719151760177914,120
Pont de Neuilly,48.88550610941816,2.258527470197358,60
Esplanade de la Défense,48.88835806016618,2.249937212862802,180
La Défense (Grande Arche),48.891826754836515,2.237992043215619,0
